trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
967,13:08:00,13:08:00,36996,7,0,0,2.4739
967,13:09:00,13:09:00,36997,8,0,0,2.7513
967,13:12:00,13:12:00,36998,9,0,0,3.4326
967,13:15:00,13:15:00,37002,10,0,0,4.8544
967,13:16:00,13:16:00,37003,11,0,0,5.5023
967,13:18:00,13:18:00,37004,12,0,0,6.7125
967,13:20:00,13:20:00,37005,13,0,0,7.2748
967,13:22:00,13:22:00,38229,14,0,0,8.1350
967,13:25:00,13:25:00,42673,15,0,0,9.0369
968,13:15:00,13:15:00,39348,1,0,0,0.0000
968,13:18:00,13:18:00,37378,2,0,0,0.8826
968,13:20:00,13:20:00,37377,3,0,0,1.1756
968,13:22:00,13:22:00,37376,4,0,0,1.5225
968,13:24:00,13:24:00,36994,5,0,0,1.7716
968,13:26:00,13:26:00,36995,6,0,0,2.0661
968,13:28:00,13:28:00,36996,7,0,0,2.4739
968,13:29:00,13:29:00,36997,8,0,0,2.7513
968,13:32:00,13:32:00,36998,9,0,0,3.4326
968,13:35:00,13:35:00,37002,10,0,0,4.8544
968,13:36:00,13:36:00,37003,11,0,0,5.5023
968,13:38:00,13:38:00,37004,12,0,0,6.7125
968,13:40:00,13:40:00,37005,13,0,0,7.2748
968,13:42:00,13:42:00,38229,14,0,0,8.1350
968,13:45:00,13:45:00,42673,15,0,0,9.0369
969,13:35:00,13:35:00,39348,1,0,0,0.0000
969,13:38:00,13:38:00,37378,2,0,0,0.8826
969,13:40:00,13:40:00,37377,3,0,0,1.1756
969,13:42:00,13:42:00,37376,4,0,0,1.5225
969,13:44:00,13:44:00,36994,5,0,0,1.7716
969,13:46:00,13:46:00,36995,6,0,0,2.0661
969,13:48:00,13:48:00,36996,7,0,0,2.4739
969,13:49:00,13:49:00,36997,8,0,0,2.7513
969,13:52:00,13:52:00,36998,9,0,0,3.4326
969,13:55:00,13:55:00,37002,10,0,0,4.8544
969,13:56:00,13:56:00,37003,11,0,0,5.5023
969,13:58:00,13:58:00,37004,12,0,0,6.7125
969,14:00:00,14:00:00,37005,13,0,0,7.2748
969,14:02:00,14:02:00,38229,14,0,0,8.1350
969,14:05:00,14:05:00,42673,15,0,0,9.0369
970,13:55:00,13:55:00,39348,1,0,0,0.0000
970,13:58:00,13:58:00,37378,2,0,0,0.8826
970,14:00:00,14:00:00,37377,3,0,0,1.1756
970,14:02:00,14:02:00,37376,4,0,0,1.5225
970,14:04:00,14:04:00,36994,5,0,0,1.7716
970,14:06:00,14:06:00,36995,6,0,0,2.0661
970,14:08:00,14:08:00,36996,7,0,0,2.4739
970,14:09:00,14:09:00,36997,8,0,0,2.7513
970,14:12:00,14:12:00,36998,9,0,0,3.4326
970,14:15:00,14:15:00,37002,10,0,0,4.8544
970,14:16:00,14:16:00,37003,11,0,0,5.5023
970,14:18:00,14:18:00,37004,12,0,0,6.7125
970,14:20:00,14:20:00,37005,13,0,0,7.2748
970,14:22:00,14:22:00,38229,14,0,0,8.1350
970,14:25:00,14:25:00,42673,15,0,0,9.0369
971,14:15:00,14:15:00,39348,1,0,0,0.0000
971,14:18:00,14:18:00,37378,2,0,0,0.8826
971,14:20:00,14:20:00,37377,3,0,0,1.1756
971,14:22:00,14:22:00,37376,4,0,0,1.5225
971,14:24:00,14:24:00,36994,5,0,0,1.7716
971,14:26:00,14:26:00,36995,6,0,0,2.0661
971,14:28:00,14:28:00,36996,7,0,0,2.4739
971,14:29:00,14:29:00,36997,8,0,0,2.7513
971,14:32:00,14:32:00,36998,9,0,0,3.4326
971,14:35:00,14:35:00,37002,10,0,0,4.8544
971,14:36:00,14:36:00,37003,11,0,0,5.5023
971,14:38:00,14:38:00,37004,12,0,0,6.7125
971,14:40:00,14:40:00,37005,13,0,0,7.2748
971,14:42:00,14:42:00,38229,14,0,0,8.1350
971,14:45:00,14:45:00,42673,15,0,0,9.0369
972,14:35:00,14:35:00,39348,1,0,0,0.0000
972,14:38:00,14:38:00,37378,2,0,0,0.8826
972,14:40:00,14:40:00,37377,3,0,0,1.1756
972,14:42:00,14:42:00,37376,4,0,0,1.5225
972,14:44:00,14:44:00,36994,5,0,0,1.7716
972,14:46:00,14:46:00,36995,6,0,0,2.0661
972,14:48:00,14:48:00,36996,7,0,0,2.4739
972,14:49:00,14:49:00,36997,8,0,0,2.7513
972,14:52:00,14:52:00,36998,9,0,0,3.4326
972,14:55:00,14:55:00,37002,10,0,0,4.8544
972,14:56:00,14:56:00,37003,11,0,0,5.5023
972,14:58:00,14:58:00,37004,12,0,0,6.7125
972,15:00:00,15:00:00,37005,13,0,0,7.2748
972,15:02:00,15:02:00,38229,14,0,0,8.1350
972,15:05:00,15:05:00,42673,15,0,0,9.0369
973,14:55:00,14:55:00,39348,1,0,0,0.0000
973,14:58:00,14:58:00,37378,2,0,0,0.8826
973,15:00:00,15:00:00,37377,3,0,0,1.1756
973,15:02:00,15:02:00,37376,4,0,0,1.5225
973,15:04:00,15:04:00,36994,5,0,0,1.7716
973,15:06:00,15:06:00,36995,6,0,0,2.0661
973,15:08:00,15:08:00,36996,7,0,0,2.4739
973,15:09:00,15:09:00,36997,8,0,0,2.7513
973,15:12:00,15:12:00,36998,9,0,0,3.4326
973,15:15:00,15:15:00,37002,10,0,0,4.8544
973,15:16:00,15:16:00,37003,11,0,0,5.5023
973,15:18:00,15:18:00,37004,12,0,0,6.7125
973,15:20:00,15:20:00,37005,13,0,0,7.2748
973,15:22:00,15:22:00,38229,14,0,0,8.1350
973,15:25:00,15:25:00,42673,15,0,0,9.0369
974,15:13:00,15:13:00,39348,1,0,0,0.0000
974,15:16:00,15:16:00,37378,2,0,0,0.8826
974,15:18:00,15:18:00,37377,3,0,0,1.1756
974,15:20:00,15:20:00,37376,4,0,0,1.5225
